title,href,summary,article_text,news_source,country
Donald Trump joins TikTok after reversal on app he tried to ban as president,https://www.cbsnews.com/news/donald-trump-joins-tiktok-reversal/,"While in office, Trump took issue with the social media app being controlled by a China-based parent company, trying unsuccessfully to ban the app in the U.S. with an executive order.","Washington — Former President Donald Trump has joined TikTok, posting for the first time Saturday on the widely popular video-sharing app controlled by a Chinese parent company that he once tried to ban in the U.S. ""It's my honor,"" Trump said in the video, which features Ultimate Fighting Championship CEO Dana White, who declared that ""the president is now on TikTok."" The video, which had garnered more than 2 million likes by Sunday afternoon, features clips from Trump's attendance at the UFC match in Newark, New Jersey, on Saturday, where he was greeted by supporters after being convicted in the New York ""hush money"" trial on all 34 felony counts days earlier. While in office, Trump took issue with the social media app being controlled by a China-based parent company, trying unsuccessfully to ban the app in the U.S. with an executive order. Earlier this year, a renewed push against the app gained momentum in Congress, as lawmakers approved a foreign aid package that included a provision that required its sale within a year or a ban from U.S. app stores. But before Congress approved and President Biden signed the legislation that could lead to a ban on TikTok into law, Trump changed his tune. He argued that banning TikTok would benefit Facebook, which he called the ""true Enemy of the People."" Trump's super PAC joined TikTok last month, despite his previous views. At the time, Taylor Budowich, the CEO of MAGA Inc., said in a post on X that ""we will ensure President Trump's America First agenda is brought to every corner of the internet and every precinct of this country."" The development comes months after Mr. Biden's reelection campaign launched its own account on TikTok, despite his administration's support for the legislation that could lead to a ban. For both campaigns, the app presents an opportunity to reach young voters, who will be a key demographic in November's election. Kaia Hubbard is a politics reporter for CBS News Digital, based in Washington, D.C. ",CBSnews,US
Trump's guilty verdict: A stress test for democracy,https://www.cbsnews.com/news/trumps-guilty-verdict-a-stress-test-for-democracy/,"Being found guilty of 34 felony counts would normally mark the end of someone's political prospects. But this week's conviction is not stopping Trump (who has built his career, and brand, on grievances) from running for another term in the White House.","Historic … unprecedented … and guilty. You couldn't escape those words this past week, after a former President of the United States was convicted on 34 felony counts in New York, a city he long called home. But beyond all the drama, said CBS News legal contributor Rebecca Roiphe, was simply a jury of seven men and five women doing their duty – and honoring the dictum, ""Nobody is above the law."" ""You can have all sorts of power, you can have all sorts of wealth, but when you're in that courtroom, you're just like anybody else,"" said Roiphe. ""Of course, there are some people who are going to look at this case and not look at it that way."" Donald Trump is one of them. ""It was a rigged trial,"" he claimed a day after he was found guilty. ""We wanted a venue change where we could have a fair trial. We didn't get it."" President Joe Biden, meanwhile, defended the legal system. ""The jury heard five weeks of evidence,"" he said Friday. ""They found Donald Trump guilty on all 34 felony counts. Now he'll be given the opportunity – as he should – to appeal that decision."" The gravity of this moment is obvious – a stress test for democracy, just as the Trump-Biden race is heating up. Less obvious is what happens next. For example, can a convicted felon still serve as president? ""Yes,"" said Roiphe. ""We have certain limitations [in the Constitution] on the presidency, and that is not one of them. ... There's nothing barring somebody from either running for the presidency, or for being president, as a convicted felon."" Trump is scheduled to be sentenced on July 11, days before Republicans are set to nominate him again. Trump attorney Todd Blanche admits it's possible his client could be in jail while the Republican National Convention is being held: ""That's something that I don't want to think about,"" he said Friday. ""I don't think it's going to happen. But it's possible, of course."" Regardless, the summer – with its debates, conventions, and other political fireworks – is likely to be a season of Trump's grievance. Trump's campaign says it raised more than $50 million 24 hours after the guilty verdict. And Trump has kept top Republicans at his side (some showing up in court, in loyal red ties) at his side. Author Michael Wolff covered the trial, and has written several books on Trump. ""This is a campaign, and this is a political career based on conflict, conflict, conflict, conflict,"" said Wolff. ""Other politicians are going to go running away from conflict. He's running absolutely toward it. ""The fact that this person keeps going against these things that no one could shoulder, somehow – weirdly – makes him heroic to many, many, many, many people,"" Wolff said. For Wolff, this crossroads is a reckoning of Trump – and of the combative New York world of infamous lawyers and fixers, hush money, and tabloids Trump has now made our own. Costa asked Wolff, ""As a longtime observer and writer on Trump, what do you make of him, someone who forged his career in the '70s and '80s alongside a New York lawyer like Roy Cohn, now finding himself a convicted felon in Lower Manhattan?"" ""I mean, it almost is poetic,"" Wolff replied. ""If you were a writer and you were writing this story, this is how you might have it end. The anomaly is that this is not necessarily where it ends, that it may well end in the White House."" For more info: Story produced by David Rothman. Editor: Chad Cardin. See also: Robert Costa is the Chief Election & Campaign correspondent for CBS News, where he covers national politics and American democracy. ",CBSnews,US
Views of Trump trial unchanged following verdict — CBS News poll,https://www.cbsnews.com/news/trump-verdict-new-york-poll/,"Half the country says Trump is not fit to be president; Republicans call the trial unfair, according to CBS News poll.","Views about former President Donald Trump's New York criminal trial after the verdict look much like they did before it took place. Just over half the country thought Trump was guilty before the verdict, and now just over half think the jury reached the right verdict and that the trial was fair. Republicans remain overwhelmingly of the belief that Trump was treated unfairly. Echoing the former president's sentiments, those who say the verdict was wrong call the jury biased, say the evidence was insufficient and the charges politically motivated. And in another marker of the nation's partisan divisions, half the country thinks Trump is unfit to be president now that he's been convicted of a crime. In all, we recontacted the Americans we interviewed before the verdict was reached, and hearing the jury's decision hasn't changed a lot of their minds. There are some implications for views of the U.S. justice system as a whole. Most Democrats say it's made them more confident in the justice system. Among Republicans, three quarters say it's made them less confident in it. Overall, opinions of the verdict are in line with what views of Trump's guilt or innocence were before the verdict was reached. Among those who thought Trump was guilty before hearing the verdict, nine in 10 now say the jury reached the right verdict — and vice versa for those who previously thought he wasn't guilty. In all, the verdict doesn't elicit any one widespread emotion from the country. Democrats feel mostly glad and relieved, but not many say they're hopeful. Republicans are more disappointed than angry, but not particularly surprised. (Respondents could express multiple feelings.) Most Republicans don't think Trump was convicted of serious crimes in this case. Among those who feel the jury reached the wrong verdict, six in 10 say the crimes are ""not at all serious."" And they by and large feel Trump was treated worse than most other criminal defendants. There's also disagreement on what punishment fits the crime, if any. Most Americans do not say Trump should serve time in prison for his conviction, but views here are also very partisan. In keeping with their view that the verdict was wrong, rank-and-file Republicans generally want the party to be loyal to Trump. We've seen this desire for loyalty expressed across many previous issues and also during the primary season. While opinion did not shift much in the immediate aftermath of the verdict, there's certainly some room for movement — especially among those who haven't been paying close attention. Those who have paid the most attention to the trial hold the firmest beliefs about it. Among those who hadn't heard much about the trial pre-verdict, most say they're still not following it very closely. This CBS News/YouGov survey is based on a nationally representative sample of 989 U.S. adults who were recontacted on May 30-June 1, 2024, after the conclusion of Donald Trump's criminal trial in New York City, following an initial survey of 1,402 adults conducted on May 14-21, 2024, before a verdict was reached. The margin of error for the total sample in the recontact survey is ±5.2 points. Toplines Kabir Khanna, Ph.D., is Deputy Director, Elections & Data Analytics at CBS News. He conducts surveys, develops statistical models, and projects races at the network Decision Desk. His scholarly research centers on political behavior and methodology. He holds a PhD in political science from Princeton University. ",CBSnews,US
"Fact checking Trump's remarks after historic conviction in ""hush money"" trial",https://www.cbsnews.com/news/fact-check-trump-conviction/,CBS News fact checked four misleading claims Trump made about his trial in remarks he made Friday morning.,"Former President Donald Trump's Manhattan criminal trial concluded Thursday with a historic conviction, and in remarks in New York Friday morning, Trump continued to repeat false or misleading claims that framed the legal verdict as a partisan political attack. CBS News fact checked four of Trump's claims about his trial on Friday morning. Former President Donald Trump has repeatedly claimed President Biden was behind the criminal trial in Manhattan: ""They are in total conjunction with the White House and the DOJ, just so you understand,"" Trump said Friday morning a day after his conviction. ""This is all done by Biden and his people."" This claim is false. Mr. Biden had no direct influence or power over the attorneys or the judge involved in this case. Further, the case was not brought by the U.S. Department of Justice. It was brought by the Manhattan district attorney's office. The trial did not take place in federal court, but rather within the court system in New York. On Friday, Trump said he is still under a gag order from Justice Juan Merchan, echoing what his lawyer, Todd Blanche, said on Fox News Thursday. CBS News legal contributor Jessica Levinson said Merchan hadn't yet lifted the gag order, as of Friday, the day after Trump's conviction. Separately, Reuters reported he ""will likely lift"" the order. Merchan gag order originally only prohibited Trump from speaking about witnesses and court staff, but it was expanded  April 1 to prohibit Trump from speaking about Bragg's family and Merchan's family after Trump repeatedly invoked Justice Merchan's daughter on social media. Merchan said the order was necessary because some of Trump's rhetoric might keep jurors, lawyers and court employees from performing their duties in the court. Trump is allowed to criticize Manhattan District Attorney Alvin Bragg and Merchan. The former president can also speak on the specifics of the case that he finds fault with or claim the entire trial is political if he wishes. So far, Trump has violated his gag order 10 times, and was fined a total of $10,000. Trump attacked the impartiality of Judge Merchan, who oversaw the case, calling him ""conflicted"" at least seven times on Friday. Previously, he also claimed Merchan's daughter worked with top Democrats. This is an exaggeration by Trump. Justice Merchan, who was randomly assigned to this case, made $35 in political contributions to Democrats through ActBlue in 2020, including $15 to Mr. Biden's campaign. Loren Merchan, the judge's daughter, has worked with some top Democrats through her role at a marketing company called Authentic Campaigns. In 2023, Merchan asked the New York Advisory Committee on Judicial Ethics to decide whether this amounted to a conflict. The panel issued a caution to Merchan because political contributions of any kind are prohibited under state judicial ethics rules. But they ruled Merchan's ability to do his job was not impacted. Merchan therefore denied Trump's request that he recuse himself — a decision which separate panel of judges from the New York Appellate Division recently upheld. Trump has repeatedly attacked Manhattan District Attorney Alvin Bragg, who brought the ""hush money"" case to trial. During his remarks Friday, Trump claimed that Bragg did not intend to pursue a case against him until after he'd announced his election. This claim is false. Alvin Bragg took office in January of 2022 and inherited the case from a previous prosecutor, Cyrus Vance Jr. The New York Times reported that Bragg was confident by the summer of 2022 that he was moving forward with an indictment and that he could convince a court that felony charges for falsifying business records in this case were warranted. It wasn't until the fall of 2022 that Trump announced he was running again. Bragg has repeatedly been a target of Trump before and during the trial. CBS News found Trump made or amplified this claim that billionaire investor George Soros donated to Alvin Bragg at least 54 times on Truth Social, including the day the verdict came in when Trump called Bragg ""Soros-backed"" in a post. While it is true that Soros donated $1 million in May 2021 to a progressive racial justice group called Color of Change, and the political arm of the group later endorsed Bragg, a spokesman for Soros told the New York Times that the two men had never met — nor had Soros given money directly to Bragg's campaign. Alan He and Paulina Smolinksi contributed to reporting. Laura Doan is a fact checker for CBS News Confirmed. She covers misinformation, AI and social media. ",CBSnews,US
DNC files complaint alleging shady fundraising practices from RFK super PAC,https://www.cbsnews.com/news/rfk-jr-super-pac-dnc-complaint-shady-fundraising/,The Democratic National Committee accuses the Kennedy-linked super PAC American Values 2024 of not properly disclosing loans and repayments to hide that the PAC's largest donor is a Trump supporter.,"The Democratic National Committee this week filed another complaint with the Federal Election Commission against Robert F. Kennedy Jr.'s allied super PAC, accusing it of engaging in shady fundraising practices. The latest complaint accuses the Kennedy-linked super PAC, American Values 2024, of again not properly disclosing loans and loan repayments to Gavin De Becker, the owner of a private security firm hired by Kennedy, in an alleged attempt to exaggerate its fundraising success and hide that the PAC's largest donor, Timothy Mellon, is also a major supporter of former President Trump. ""Despite what AV24 may believe, the rules do apply to them. By continuing to inflate their fundraising numbers, and concealing the extent to which Timothy Mellon, Donald Trump's largest donor, is propping up RFK Jr.'s candidacy, they are not only misconstruing election laws, they are deceiving the public,"" DNC senior adviser Mary Beth Cahill said in a statement to CBS News on Thursday. In April, a pattern emerged after the PAC refunded $2 million to De Becker, according to financial filings, and this partial refund followed his initial $4 million contribution to the PAC in February. This isn't the first time the PAC made this move, according to FEC filings. In 2023, the super PAC received a significant financial injection from De Becker, totaling about $10 million. But by the year's end, $9.6 million of these funds were returned, according to financial filings. PAC financial filings label these transactions as ""contributions"" and ""refunds,"" but the DNC argues the transactions should be classified as loans. The super PAC has touted these transactions, despite refunding a major portion of it back to De Becker, saying they show that ""there is real electricity and a palpable desire for change."" The DNC alleges that these transactions are being used to cover up Mellon's substantial stake in the super PAC. Tony Lyons, co-founder of American Values 2024, told CBS News in a statement Thursday that the DNC's complaint is ""part of their concerted effort to silence and censor Bobby Kennedy, mislead the public about his views, his policies and his past."" ""We will answer this officially to the FEC,"" Lyons said. Some campaign finance experts find these transactions ""very unusual."" Craig Holman, the government affairs lobbyist for Public Citizen, said he's ""never seen anything like it."" According to Holman, if the PAC is deliberately arranging for an infusion of funds only to return them later, ""that is a loan, and if it's being declared as a contribution, that would be a violation of campaign finance law."" Holman called this a ""self-serving"" arrangement between Kennedy and De Becker. ""Kennedy creates a false image that there's a great deal of money backing him, and De Becker gets some money out of it,"" he added. Andrew Mayersohn, a researcher at OpenSecrets, a nonprofit that tracks and publishes data on campaign finance, said these unusual transactions make the Kennedy campaign look more viable when it appears that funding is pouring into his cause rather than being loaned. ""People do in fact use those individual contribution totals to evaluate how well the campaign is doing,"" Mayersohn said. This the third FEC complaint filed by the committee. The group first filed a complaint in February, alleging that the PAC violated federal law after it announced plans to aid Kennedy's signature-gathering efforts in the key battleground states of Georgia, Arizona and Michigan at the start of 2024, along with funding ballot access efforts for Kennedy in five other states. Kennedy's campaign announced in April it had secured ballot access in Michigan. A spokesperson for the Michigan Secretary of State's office confirmed that the Natural Law Party, a minor party with a spot on the state's ballot, nominated Kennedy at the party's convention, which would allow him  to skip the signature gathering process in the Great Lake State. ""We were not coordinating. If we were coordinating, that wouldn't have happened,"" said Larry Sharpe, director of national organizing at American Values 2024. ""We wanted to help out with signatures because we wanted to help the campaign, and we picked states where the law said it was OK."" The DNC told CBS News that it has not heard back from the FEC on any of its complaints. Allison Novelo is a 2024 campaign reporter for CBS News. ",CBSnews,US
Trump campaign says it raised $52.8 million after guilty verdict,https://www.cbsnews.com/news/trump-fundraising-guilty-verdict-new-york-conviction/,"Former President Donald Trump's campaign and the GOP raised $52.8 million in the hours after Trump was convicted on 34 felony counts in his ""hush money"" trial.","Former President Donald Trump's campaign and the Republican Party raised $52.8 million in the 24 hours after Trump was convicted on 34 felony counts in his ""hush money"" trial, the campaign said Friday, a staggering total that represents more than half of what they raised in the entire month of April. The campaign said that Thursday's sum mostly came from small-dollar donors, including 30% who were new contributors to WinRed, the GOP's fundraising platform. Fundraising totals can't be verified until the campaign's reports to the Federal Election Commission are released next month. A CBS News analysis of the Trump campaign's fundraising through April found he has received an influx in donations following key moments in his legal battles. Before his conviction on Thursday, FEC filings show Trump's two best fundraising days were April 4, 2023, when he was arraigned in New York City, and Aug. 25, 2023, the day after his mugshot was released in his separate criminal case in Georgia. Trump's fundraising also spiked when he was indicted by federal grand juries in Florida in June 2023 and Washington, D.C., in August 2023. He likewise saw a bump when a different judge in New York ordered him to pay $454 million in fines and interest in his civil fraud case in February. Between his conviction in the ""hush money"" case and Friday afternoon, Trump's team spent at least $94,900 on ads on Facebook and Instagram — more than double what the campaign spent in the week leading up to the trial's conclusion, according to data from the Meta Ad Library. The ads paint Trump as a ""political prisoner,"" and say Thursday was a ""dark day in America."" ""I WAS JUST CONVICTED IN A RIGGED TRIAL,"" many of the ads begin. Trump railed against the trial as ""rigged"" and called the charges a ""scam"" in remarks at Trump Tower on Friday. The ads direct users to WinRed, a Republican fundraising site that crashed minutes after the verdict. The campaign said the technical failure was caused by the swell of traffic to the site. Trump's campaign and the Republican Party raised roughly $76 million in April, surpassing the monthly total brought in by President Biden and the Democratic Party for the first time in this election cycle. FEC filings show Democrats have more cash on hand, but an influx of donations following his conviction could help Trump catch up. Trump's ads in the wake of the verdict echo the theme of his rhetoric throughout the trial: that the charges against him were part of a politically motivated effort by Democrats to weaken his campaign. One of his most widely viewed ads prior to his conviction repeated the falsehood that the trial was spearheaded by the Biden administration, when in fact it was a state case prosecuted by the Manhattan district attorney. Trump has also rallied supporters by calling himself the victim of a political ""witch hunt,"" a phrase he's used in at least 382 posts on his platform Truth Social and in several social media ads. Trump is now doubling down on the narrative, urging those who visit his WinRed donation page to ""NEVER SURRENDER"" under a photo of the mugshot that previously helped him raise millions. For its part, the Biden campaign said Trump is ""unhinged"" and ""consumed by his own thirst for revenge and retribution"" after his remarks on Friday. The president himself addressed the verdict for the first time later in the day, saying at the White House that the verdict reaffirmed the ""American principle that no one is above the law."" This story has been updated to clarify the total was raised over a 24-hour period. Julia Ingram is a data journalist for CBS News Confirmed. She covers misinformation, AI and social media using computational methods. Contact Julia at julia.ingram@cbsnews.com. ",CBSnews,US
Biden addresses Trump verdict for first time,https://www.cbsnews.com/news/biden-addresses-trump-verdict/,"President Biden said the ""American principle that no one is above the law was reaffirmed"" after Trump was convicted on 34 felony counts of falsifying business records.","Washington — President Biden made his first public comments on the conviction of former President Donald Trump in a case relating to a ""hush money"" payment to adult film star Stormy Daniels, asserting that the ""American principle that no one is above the law was reaffirmed."" Speaking from the White House on Friday, Mr. Biden criticized his 2024 rival's response to the guilty verdict. Trump has claimed the trial was ""very unfair"" and ""rigged."" ""It's reckless, it's dangerous, it's irresponsible, for anyone to say this was 'rigged,' just because they don't like the verdict,"" Mr. Biden said. ""Our justice system has endured for nearly 250 years, and it literally is the cornerstone of America. Our justice system. The justice system should be respected. And we should never allow anyone to tear it down. It's as simple as that. That's America. That's who we are, and that's who we'll always be, God willing."" The New York jury reached a verdict Thursday, finding that Trump illegally falsified business records to conceal a $130,000 payment made in the days before the 2016 election to Daniels to silence her account of a sexual encounter with him. Trump has denied sleeping with Daniels. He was convicted on 34 felony counts. Mr. Biden noted that the charges were state charges, not federal charges, after Trump and his allies have falsely accused him and the Justice Department of orchestrating the trial. ""Now he will be given the opportunity, as he should, to appeal that decision, just like everyone else has that opportunity,"" Mr. Biden said. Trump, who is the first former president to be convicted of a crime, said Friday that he is ""going to fight"" and appeal the conviction. The president's comments about Trump preceded his remarks about an Israeli cease-fire proposal. ",CBSnews,US
"Trump, Biden debate will face obstacles in bypassing commission, co-chair predicts",https://www.cbsnews.com/news/trump-biden-debate-obstacles-commission-presidential-debates/,"""There's a lot of questions"" about the debates that haven't been resolved, co-chair Frank Fahrenkopf said, adding, ""That could prevent it from happening.""","Two presidential debates have been announced — without the involvement of the Commission on Presidential Debates (CPD) — putting the CPD in a rare and potentially perilous void of irrelevance. Commission co-chairman Frank Fahrenkopf, a veteran of 33 presidential and vice presidential clashes, isn't convinced President Joe Biden and former President Donald Trump will go through with debates announced for June 27 on CNN and Sept. 10 on ABC. CBS News has proposed a vice presidential debate that Kamala Harris has accepted. Trump, who does not yet have a running mate, has not accepted this debate yet. ""There are a lot of things that have to be worked out,"" Fahrenkopf told CBS News on this week's episode of ""The Takeout."" ""There's a lot of questions…that aren't to my knowledge worked out yet. That could prevent it from happening."" Fahrenkopf, who, outside of the Biden and Trump campaigns, is possibly the most interested observer of the debate schedule and machinations, listed some unresolved issues: drug tests (Trump said he will ""demand"" one of Biden); whether the candidates will be seated at a table or standing behind podiums; opening statements; length of response time/rebuttal; and commercial breaks (commission-sponsored debates were 90 uninterrupted minutes). Eager to share debate commission history, Fahrenkopf said disputes over issues like these came close to paralyzing debates before the commission was formed in 1987. ""That's the reason that we were created,"" Fahrenkopf said. ""The history of two campaigns sitting down and arguing and arguing and arguing. Remember — we went 16 years without debates. Little things can get in the way. I don't know whether that's as true here, but there are a lot of things."" The first televised presidential debate took place in 1960 at the Chicago studio of CBS News station WBBM and was moderated by CBS News anchor Howard K. Smith, along with a panel that included journalists from ABC and NBC News. It was a ratings sensation and campaign lore was that GOP nominee and then-Vice President Richard Nixon lost ground to the Democratic nominee, Massachusetts Sen. John F. Kennedy. After Kennedy's assassination in 1963, Lyndon Johnson declined to debate in 1964. Stung by his experience in 1960, Nixon refused to debate in 1968 and 1972. In 1976, President Gerald Ford, who succeeded Nixon after he resigned, agreed to debate Democratic nominee, former Georgia Gov. Jimmy Carter. The League of Women Voters sponsored debates that year and through 1984 when, following two academic studies recommending a non-partisan commission to oversee debates, the Commission on Presidential Debates was formed. Fahrenkopf, formerly chairman of the Republican National Committee, was an original founder, along with then-Democratic National Committee Chairman Paul Kirk. Though it's now landed in a new and uncomfortable political wilderness, Fahrenkopf said the commission is not dead — at least not yet. ""Absolutely not,"" Fahrenkopf said. ""We are right now organizing, completing our planning and so forth. We have to wait to see what happens. My gut tells me that we may have a future. We better stick around."" Fahrenkopf knows the commission is viewed as an anachronism and has absorbed withering criticism from both Trump — who accused the commission of being biased against Republicans — and close advisers to Mr. Biden who view commission procedures as outmoded and fussy. But Fahrenkopf withdrew his harshest criticism of top White House communications adviser Anita Dunn, when he told Politico's Deep Dive podcast that Dunn ""hates"" the commission and was the reason Mr. Biden's team went around it to negotiate with Trump's campaign. ""Yeah, maybe I spoke a little too roughly,"" Fahrenkopf told CBS News. ""She doesn't like us. Let's say that maybe I was a little too strong."" He conceded the commission's days could be numbered. ""We're hoping that we're going to know in the next few weeks whether things are really going to happen or not,"" Fahrenkopf said. Asked if the July 4th weekend could be a deadline for the commission to know whether it has a future in this election, Fahrenkopf said yes. ""If there's no commitment to the commission by July 4th, then probably this isn't going to happen."" Confronting that reality in ways he never has before, Fahrenkopf said something would be lost if debates fell to individual TV networks with smaller audiences. Commission debates have traditionally been carried by all networks without commercial breaks or glaring promotional overlays and constant haggling over format, moderators, locations and myriad other issues. This year, the cable and broadcast networks hosting the debates, CNN and ABC, have offered to allow all networks to simulcast the debates. ""I think it has become part of the tradition of how we elect the people who lead our country as president and vice president,"" Fahrenkopf said of commission debates. ""I would hate to see this also disappear."" Fahrenkopf was asked if he was rooting for the announced debates to fall apart. ""No, that's not true. I can't say that."" Fahrenkopf added, ""If they're able to succeed with these two debates that they're planning, if they're done right (and) they educate the American people, I will give them a salute. The only reason we exist is to make sure debates take place. However, he added, ""If they crash and burn, we'll still be there and hopefully be able to fill what's empty."" Executive producer: Arden Farhi Producers: Jamie Benson, Jacob Rosen, Sara Cook and Eleanor Watson CBSN Production: Eric Soussanin Show email: TakeoutPodcast@cbsnews.comTwitter: @TakeoutPodcastInstagram: @TakeoutPodcastFacebook: Facebook.com/TakeoutPodcast Major Garrett is CBS News' chief Washington correspondent. He's also the host of ""The Takeout,"" a weekly multi-platform interview show on politics, policy and pop culture. ",CBSnews,US
RFK Jr. plans to file lawsuit against Nevada over ballot access,https://www.cbsnews.com/news/rfk-jr-plans-to-file-lawsuit-against-nevada-over-ballot-access/,"In late March, the Nevada Secretary of State's Office acknowledged that a staffer wrongly informed Kennedy's campaign that it did not need to name a vice-presidential pick on its petition.","Robert F. Kennedy Jr. is planning to file a lawsuit against the Nevada Secretary of State's office, CBS News has learned, nearly two months after learning that his campaign would likely have to restart signature gathering in the Silver State. In early March, the campaign announced that it had collected more than 15,000 signatures in Nevada, but before Kennedy had named a running mate, which is required by state law to start the petition process for independent candidates. In late March, the Nevada Secretary of State's Office acknowledged, however, that a staffer wrongly informed the campaign that it did not need to name a vice-presidential pick on the petition. However, in a statement Thursday provided to CBS News, Nevada Secretary of State Cisco Aguilar said his office is prepared to face Kennedy in court, given that his campaign received guidance with the statutes made clear. ""Nevada has a rich history of independent and third party candidates for office. Each of those candidates managed to attain ballot access by following the law. We look forward to seeing Mr. Kennedy's team in court,"" Aguilar said. With over a month left to gather new signatures, the campaign will likely run out of time to start over in Nevada if it pursues litigation in court and loses the case. In a May 23 settlement letter written by Paul Rossi, the Kennedy campaign's lead ballot access attorney, he warned the secretary of state's office that Kennedy was prepared to file a lawsuit Friday unless the office agrees to settle with the campaign. Rossi offered to drop any charges and avoid litigation costs in exchange for the office validating the signatures. RFK Jr. plans to file lawsuit against Nevada over ballot access by Faris Tanyos on Scribd Rossi proposed circulating Nicole Shanahan's name in newspapers around the state to correct the omission of RFK Jr.'s running mate on the petition. Additionally, anyone who signed Kennedy's petition may withdraw their support if they choose to, Rossi offered. ""We are happy to discuss and iron out any details to reach an acceptable settlement of this unique factual circumstance,"" Rossi wrote. A similar case occurred in 2008, when the Las Vegas Convention and Visitors Authority filed a petition with the secretary of state's office to put an education and infrastructure funding initiative on the ballot. The secretary of state's office determined that the petition was invalid because the form violated state guidelines, and that decision was later upheld by the Nevada Supreme Court. Kennedy was not the only independent candidate to learn he would have to start over in Nevada. Independent presidential candidate Cornel West submitted a new petition to the secretary of state's office in April, the same day he revealed his running mate, Melina Abdullah, a California-based pan-African studies professor, and leader of the California chapter of Black Lives Matter, according to the secretary of state's office. ""In early March, the Secretary of State's office sent guidance to all independent campaigns for president that had filed petitions for ballot access,"" Aguilar said in his statement to CBS News. ""This guidance highlighted the statutory requirements necessary for petitions to be valid. The guidance was sent well in advance of the deadline to submit signatures, which still has not passed. While some campaigns took the opportunity to refile petitions with our office, others did not."" Prior to the settlement letter, the secretary of state's office told CBS News it had not heard from the campaign since March, when it first sent a memo for ballot access guidance. This also comes one day after Kennedy's campaign filed a complaint with the Federal Election Commission that accuses CNN, President Biden, former President Donald Trump and their campaigns of violating federal election law for not inviting him to take part in the June 27 presidential debate. Allison Novelo is a 2024 campaign reporter for CBS News. ",CBSnews,US
Can Trump still vote after being convicted?,https://www.cbsnews.com/news/trump-convicted-vote-florida/,Former President Trump was convicted of 34 felony counts in New York. Can he still vote in the presidential election?,"Former President Donald Trump, the presumptive GOP nominee for the presidency in November, is now a convicted felon, but it's still likely he can vote — and vote for himself — in Florida this fall. Trump, whose primary residence was in New York for most of his life, moved his residency to Florida in 2019, so that's where he would seek to vote this fall. Trump can still become president as a convicted felon, and experts say despite his conviction on 34 felony counts on Thursday, he can likely vote, too. Trump's sentencing hearing is scheduled for July, but his attorneys are sure to file all appeals possible, and it's not yet clear whether he will serve prison time. Blair Bowie, an attorney at the Campaign Legal Center, said Florida ""defers to other state laws when it comes to disenfranchising voters who are tried and convicted elsewhere."" According to Florida state law, a Florida resident with a felony conviction elsewhere is only ineligible to vote ""if the conviction would make the person ineligible to vote in the state where the person was convicted,"" the Florida Division of Elections website says. According to the New York courts website, ""you lose your right to vote while you are in prison for a felony conviction."" But ""if you are convicted of a felony and you are released from prison, you can vote,"" and ""if you are convicted of a felony and your sentence is suspended, you can vote."" In a social media post Friday, Florida Gov. Ron DeSantis wrote that ""Trump hasn't lost his voting rights in Florida. Rights are not removed in Florida where they haven't yet been stripped in the convicting jurisdiction."" The ACLU of New York says convicted felons who are on parole, on probation, were not sentenced to prison or completed a prison sentence can vote. ""New York only disenfranchises people while serving a prison sentence, so assuming Trump is not sentenced to prison time, his rights would be restored by New York law and therefore also in Florida,"" Bowie said. CBS News legal analyst and Loyola University Law School professor Jessica Levinson agreed, saying a person convicted of a felony can vote unless incarcerated. ""New York says you can vote unless he's incarcerated, so no incarceration means he can vote,"" Levinson said. Trump is still facing charges related to alleged election interference in Georgia and Washington, D.C, and another 40 counts related to the classified documents case in Florida. None of those cases have trial dates set yet. Kathryn Watson is a politics reporter for CBS News Digital, based in Washington, D.C. ",CBSnews,US
